Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
onion,food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      ,onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
onion,food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
onion,food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
onion,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      onion/onion_4_2_44 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
onion,food_jar/food_jar_3_4_80 (nan)      food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      tomato/tomato_1_4_101 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
onion,food_jar/food_jar_3_4_80 (nan)      food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
onion,food_jar/food_jar_3_4_80 (nan)      food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      tomato/tomato_1_4_101 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
onion,food_jar/food_jar_3_4_80 (nan)      food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
onion,food_jar/food_jar_3_4_80 (nan)      food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      tomato/tomato_1_4_101 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
onion,food_jar/food_jar_3_4_80 (nan)      food_can/food_can_10_4_167 (nan)      onion/onion_4_2_44 (nan)      potato/potato_5_1_106 (nan)      ,onion/onion_4_2_44 (nan) ,onion/onion_4_2_44 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - onion,,,,,,,,0.6766666666666666,1.0,0.6333333333333333,0.7333333333333333
 ,,,,,,,,,,,
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bag,food_jar/food_jar_3_4_80 (nan)      food_bag/food_bag_1_2_138 (nan)      ,food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      ,food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      ,food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
bag,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      food_bag/food_bag_1_2_138 (nan)      tomato/tomato_1_4_101 (nan)      ,food_bag/food_bag_1_2_138 (nan) ,food_bag/food_bag_1_2_138 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - bag,,,,,,,,0.735,1.0,0.6666666666666666,0.7666666666666667
 ,,,,,,,,,,,
sponge,food_jar/food_jar_3_4_80 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
sponge,food_jar/food_jar_3_4_80 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
sponge,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
Total - sponge,,,,,,,,0.6399999999999999,1.0,0.6,0.7166666666666667
 ,,,,,,,,,,,
computer,glue_stick/glue_stick_1_4_146 (nan)      keyboard/keyboard_5_4_130 (nan)      lime/lime_4_1_15 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
computer,glue_stick/glue_stick_1_4_146 (nan)      keyboard/keyboard_5_4_130 (nan)      lime/lime_4_1_15 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
computer,glue_stick/glue_stick_1_4_146 (nan)      keyboard/keyboard_5_4_130 (nan)      lime/lime_4_1_15 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
computer,food_jar/food_jar_3_4_80 (nan)      keyboard/keyboard_5_4_130 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) keyboard/keyboard_5_4_130 (nan) ,keyboard/keyboard_5_4_130 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
Total - computer,,,,,,,,0.6916666666666667,1.0,0.5833333333333333,0.7
 ,,,,,,,,,,,
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
hairbrush,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      comb/comb_1_4_193 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
hairbrush,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      comb/comb_1_4_193 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
hairbrush,comb/comb_1_4_193 (nan)      food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      ,comb/comb_1_4_193 (nan) comb/comb_1_4_193 (nan) ,comb/comb_1_4_193 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
Total - hairbrush,,,,,,,,0.7300000000000001,1.0,0.6,0.7166666666666667
 ,,,,,,,,,,,
blue,food_jar/food_jar_3_4_80 (nan)      flashlight/flashlight_3_1_142 (nan)      scissors/scissors_3_4_107 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) flashlight/flashlight_3_1_142 (nan) scissors/scissors_3_4_107 (nan) ,flashlight/flashlight_3_1_142 (nan) scissors/scissors_3_4_107 (nan) sponge/sponge_5_4_261 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) sponge/sponge_5_4_261 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      glue_stick/glue_stick_1_4_146 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      sponge/sponge_5_4_261 (nan)      ,sponge/sponge_5_4_261 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) sponge/sponge_5_4_261 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,sponge/sponge_5_4_261 (nan)      flashlight/flashlight_3_1_142 (nan)      scissors/scissors_3_4_107 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,sponge/sponge_5_4_261 (nan) flashlight/flashlight_3_1_142 (nan) scissors/scissors_3_4_107 (nan) ,flashlight/flashlight_3_1_142 (nan) scissors/scissors_3_4_107 (nan) sponge/sponge_5_4_261 (nan) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      flashlight/flashlight_3_1_142 (nan)      sponge/sponge_5_4_261 (nan)      tomato/tomato_1_4_101 (nan)      ,sponge/sponge_5_4_261 (nan) flashlight/flashlight_3_1_142 (nan) ,flashlight/flashlight_3_1_142 (nan) sponge/sponge_5_4_261 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,sponge/sponge_5_4_261 (nan)      glue_stick/glue_stick_1_4_146 (nan)      garlic/garlic_7_1_74 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,sponge/sponge_5_4_261 (nan) ,sponge/sponge_5_4_261 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - blue,,,,,,,,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
leaf,food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      camera/camera_2_1_72 (nan)      ,greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
leaf,food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      camera/camera_2_1_72 (nan)      ,greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
leaf,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      ,greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
leaf,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      ,greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
leaf,food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      tomato/tomato_1_4_101 (nan)      camera/camera_2_1_72 (nan)      ,greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
leaf,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      ,greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
leaf,food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      ,greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
leaf,food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      ,greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
leaf,food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      camera/camera_2_1_72 (nan)      ,greens/greens_1_2_89 (nan) greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
leaf,food_can/food_can_10_4_167 (nan)      glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      greens/greens_1_2_89 (nan)      ,greens/greens_1_2_89 (nan) ,greens/greens_1_2_89 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - leaf,,,,,,,,0.6666666666666667,1.0,0.7,0.7833333333333333
 ,,,,,,,,,,,
purple,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      toothbrush/toothbrush_4_2_39 (nan)      ,toothbrush/toothbrush_4_2_39 (nan) toothbrush/toothbrush_4_2_39 (nan) toothbrush/toothbrush_4_2_39 (nan) ,toothbrush/toothbrush_4_2_39 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
purple,food_jar/food_jar_3_4_80 (nan)      toothbrush/toothbrush_4_2_39 (nan)      ,toothbrush/toothbrush_4_2_39 (nan) toothbrush/toothbrush_4_2_39 (nan) toothbrush/toothbrush_4_2_39 (nan) ,toothbrush/toothbrush_4_2_39 (nan) ,1.0,-1.0,0.0,2.0,0.0,1.0,0.333333333333,0.5
purple,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      toothbrush/toothbrush_4_2_39 (nan)      ,toothbrush/toothbrush_4_2_39 (nan) ,toothbrush/toothbrush_4_2_39 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
purple,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      toothbrush/toothbrush_4_2_39 (nan)      ,toothbrush/toothbrush_4_2_39 (nan) toothbrush/toothbrush_4_2_39 (nan) ,toothbrush/toothbrush_4_2_39 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
purple,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      tomato/tomato_1_4_101 (nan)      glue_stick/glue_stick_1_4_146 (nan)      toothbrush/toothbrush_4_2_39 (nan)      ,toothbrush/toothbrush_4_2_39 (nan) ,toothbrush/toothbrush_4_2_39 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
